tradeprice_sido_n1,date,region_cd,tradeprice_sido,year,month,building_type,construction_realized_amount,cd,spirit_deposit_rate,exchange_rate,composite_stock_price_index,economy_growth,exchequer_bond_three,household_loan_all,mortgage_all,numberofnosells,unsalenum_c
90.5,2006-01-01,42000,90.5,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
69.7,2006-01-01,41000,69.1,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
77.6,2006-01-01,50000,77.6,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
52.8,2006-01-01,50000,52.8,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
72.3,2006-01-01,29000,72.0,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
58.1,2006-01-01,26000,58.1,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
92.5,2006-01-01,47000,92.8,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
75.9,2006-01-01,28000,75.9,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
97.6,2006-01-01,29000,97.6,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
79.7,2006-01-01,48000,79.9,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
82.1,2006-01-01,50000,82.1,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
94.7,2006-01-01,50000,94.7,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
72.2,2006-01-01,42000,71.7,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
57.0,2006-01-01,31000,56.9,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
74.2,2006-01-01,43000,74.2,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
92.0,2006-01-01,44000,92.1,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
77.4,2006-01-01,27000,77.5,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
70.9,2006-01-01,31000,70.5,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
68.5,2006-01-01,43000,67.8,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
55.8,2006-01-01,28000,55.9,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
84.6,2006-01-01,26000,84.6,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
85.0,2006-01-01,30000,85.6,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
74.6,2006-01-01,43000,74.2,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
71.7,2006-01-01,27000,71.5,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
68.2,2006-01-01,27000,67.8,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
79.8,2006-01-01,26000,80.0,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
64.2,2006-01-01,29000,63.9,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
65.1,2006-01-01,11000,64.8,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
66.2,2006-01-01,11000,65.7,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
72.5,2006-01-01,31000,71.6,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
79.7,2006-01-01,30000,79.9,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
62.7,2006-01-01,41000,62.5,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
78.7,2006-01-01,42000,78.4,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
66.9,2006-01-01,11000,66.6,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
83.4,2006-01-01,44000,83.6,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
85.0,2006-01-01,27000,85.0,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
78.1,2006-01-01,30000,78.2,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
77.9,2006-01-01,44000,77.6,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
62.5,2006-01-01,45000,62.2,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
83.7,2006-01-01,44000,83.6,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
79.8,2006-01-01,46000,79.8,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
78.7,2006-01-01,47000,78.5,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
77.1,2006-01-01,30000,77.2,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
88.6,2006-01-01,47000,88.7,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
73.2,2006-01-01,45000,72.9,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
61.8,2006-01-01,31000,61.5,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
90.5,2006-01-01,29000,90.5,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
94.2,2006-02-01,45000,94.2,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
64.5,2006-02-01,29000,64.2,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
70.4,2006-02-01,41000,69.7,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
69.7,2006-02-01,41000,69.1,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
72.5,2006-02-01,29000,72.3,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
91.8,2006-02-01,42000,90.5,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
62.3,2006-02-01,28000,62.1,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
65.4,2006-02-01,28000,65.3,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
72.4,2006-02-01,31000,70.9,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
73.0,2006-02-01,31000,72.5,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
84.5,2006-02-01,42000,82.9,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
77.6,2006-02-01,41000,77.2,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
72.8,2006-02-01,42000,72.2,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
56.0,2006-02-01,28000,55.8,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
57.6,2006-02-01,31000,57.0,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
72.7,2006-02-01,46000,73.2,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
73.5,2006-02-01,45000,73.5,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
62.9,2006-02-01,45000,62.5,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
92.5,2006-02-01,44000,92.0,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
79.0,2006-02-01,47000,78.7,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
83.4,2006-02-01,44000,83.4,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
70.4,2006-02-01,47000,69.7,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
88.7,2006-02-01,47000,88.6,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
86.0,2006-02-01,27000,85.0,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
63.3,2006-02-01,41000,62.7,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
86.9,2006-02-01,43000,86.4,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
62.4,2006-02-01,46000,62.4,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
79.8,2006-02-01,46000,79.8,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
67.3,2006-02-01,11000,66.9,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
65.4,2006-02-01,11000,65.1,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
62.6,2006-02-01,31000,61.8,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
73.4,2006-02-01,45000,73.2,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
69.6,2006-02-01,48000,69.5,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
64.8,2006-02-01,48000,64.6,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
79.9,2006-02-01,48000,79.7,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
74.4,2006-02-01,43000,74.2,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
92.4,2006-02-01,46000,94.6,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
67.6,2006-02-01,26000,67.6,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
80.0,2006-02-01,48000,80.0,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
68.0,2006-02-01,11000,66.9,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
91.8,2006-02-01,47000,92.5,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
58.1,2006-02-01,26000,58.1,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
77.6,2006-02-01,50000,77.6,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
52.7,2006-02-01,50000,52.8,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
79.9,2006-02-01,26000,79.8,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
78.0,2006-02-01,44000,77.9,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
82.1,2006-02-01,50000,82.1,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
94.7,2006-02-01,50000,94.7,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
84.6,2006-02-01,26000,84.6,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
76.1,2006-02-01,28000,75.9,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
69.4,2006-02-01,43000,68.5,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
85.4,2006-02-01,30000,85.0,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
77.5,2006-02-01,30000,77.1,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
72.2,2006-02-01,27000,71.7,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
68.5,2006-02-01,27000,68.2,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
84.0,2006-02-01,44000,83.7,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
75.3,2006-02-01,43000,74.6,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
66.9,2006-02-01,11000,66.2,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
79.5,2006-02-01,42000,78.7,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
77.5,2006-02-01,27000,77.4,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
78.1,2006-02-01,30000,78.1,2006,2,1,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
79.8,2006-02-01,30000,79.7,2006,2,0,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
97.8,2006-02-01,29000,97.6,2006,2,7,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
90.6,2006-02-01,29000,90.5,2006,2,3,4862500.0,4.25,4.13,969.0,1341.72,1.8,4.87,,,,
79.8,2006-03-01,48000,80.0,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
78.1,2006-03-01,44000,78.0,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
83.4,2006-03-01,44000,83.4,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
94.0,2006-03-01,45000,94.2,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
71.5,2006-03-01,41000,70.4,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
73.5,2006-03-01,45000,73.5,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
63.5,2006-03-01,45000,62.9,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
93.1,2006-03-01,44000,92.5,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
64.0,2006-03-01,41000,63.3,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
73.8,2006-03-01,45000,73.4,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
68.0,2006-03-01,11000,67.3,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
65.8,2006-03-01,11000,65.4,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
67.5,2006-03-01,26000,67.6,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
78.2,2006-03-01,41000,77.6,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
58.0,2006-03-01,26000,58.1,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
79.8,2006-03-01,26000,79.9,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
84.6,2006-03-01,26000,84.6,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
72.4,2006-03-01,27000,72.2,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
79.7,2006-03-01,42000,79.5,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
68.7,2006-03-01,27000,68.5,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
78.1,2006-03-01,27000,77.5,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
86.1,2006-03-01,27000,86.0,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
62.6,2006-03-01,28000,62.3,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
65.7,2006-03-01,28000,65.4,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
56.4,2006-03-01,28000,56.0,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
76.3,2006-03-01,28000,76.1,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
73.1,2006-03-01,42000,72.8,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
82.6,2006-03-01,42000,84.5,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
92.2,2006-03-01,42000,91.8,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
73.0,2006-03-01,29000,72.5,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
64.8,2006-03-01,29000,64.5,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
90.7,2006-03-01,29000,90.6,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
99.4,2006-03-01,29000,97.8,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
67.9,2006-03-01,11000,66.9,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
79.9,2006-03-01,30000,79.8,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
77.9,2006-03-01,30000,78.1,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
92.1,2006-03-01,46000,92.4,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
79.8,2006-03-01,46000,79.8,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
75.9,2006-03-01,43000,75.3,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
94.7,2006-03-01,50000,94.7,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
80.1,2006-03-01,50000,82.1,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
77.1,2006-03-01,30000,77.5,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
70.0,2006-03-01,43000,69.4,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
70.6,2006-03-01,41000,69.7,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
52.7,2006-03-01,50000,52.7,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
77.1,2006-03-01,50000,77.6,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
74.4,2006-03-01,43000,74.4,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
87.6,2006-03-01,43000,86.9,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
69.5,2006-03-01,11000,68.0,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
72.6,2006-03-01,46000,72.7,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
79.9,2006-03-01,48000,79.9,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
64.9,2006-03-01,48000,64.8,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
69.7,2006-03-01,48000,69.6,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
63.4,2006-03-01,31000,62.6,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
62.4,2006-03-01,46000,62.4,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
90.9,2006-03-01,47000,91.8,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
89.0,2006-03-01,47000,88.7,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
86.6,2006-03-01,30000,85.4,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
71.2,2006-03-01,47000,70.4,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
79.2,2006-03-01,47000,79.0,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
73.6,2006-03-01,31000,72.4,2006,3,7,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
58.2,2006-03-01,31000,57.6,2006,3,1,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
74.6,2006-03-01,31000,73.0,2006,3,3,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
84.3,2006-03-01,44000,84.0,2006,3,0,6313640.0,4.27,4.2,975.9,1331.72,1.8,4.93,,,,
76.9,2006-04-01,31000,74.6,2006,4,3,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
90.3,2006-04-01,29000,90.7,2006,4,3,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
86.4,2006-04-01,27000,86.1,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
78.4,2006-04-01,27000,78.1,2006,4,3,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
69.0,2006-04-01,27000,68.7,2006,4,1,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
99.4,2006-04-01,29000,99.4,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
79.7,2006-04-01,30000,79.9,2006,4,0,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
77.5,2006-04-01,30000,77.9,2006,4,1,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
72.7,2006-04-01,27000,72.4,2006,4,0,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
84.5,2006-04-01,26000,84.6,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
78.1,2006-04-01,44000,78.1,2006,4,1,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
94.7,2006-04-01,50000,94.7,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
78.5,2006-04-01,50000,80.1,2006,4,3,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
84.3,2006-04-01,44000,84.3,2006,4,0,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
76.3,2006-04-01,30000,77.1,2006,4,3,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
87.3,2006-04-01,30000,86.6,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
79.6,2006-04-01,26000,79.8,2006,4,3,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
76.1,2006-04-01,43000,75.9,2006,4,0,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
70.1,2006-04-01,43000,70.0,2006,4,1,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
72.0,2006-04-01,41000,70.6,2006,4,0,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
53.1,2006-04-01,50000,52.7,2006,4,1,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
76.7,2006-04-01,50000,77.1,2006,4,0,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
79.0,2006-04-01,41000,78.2,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
57.9,2006-04-01,26000,58.0,2006,4,1,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
67.4,2006-04-01,26000,67.5,2006,4,0,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
68.6,2006-04-01,11000,68.0,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
74.4,2006-04-01,43000,74.4,2006,4,3,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
88.1,2006-04-01,43000,87.6,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
70.8,2006-04-01,11000,69.5,2006,4,1,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
80.1,2006-04-01,48000,79.8,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
80.3,2006-04-01,48000,79.9,2006,4,3,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
90.9,2006-04-01,46000,92.1,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
79.8,2006-04-01,46000,79.8,2006,4,3,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
65.1,2006-04-01,48000,64.9,2006,4,1,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
69.9,2006-04-01,48000,69.7,2006,4,0,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
62.5,2006-04-01,46000,62.4,2006,4,1,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
94.0,2006-04-01,45000,94.0,2006,4,7,6303213.0,4.33,4.33,945.7,1415.92,0.6,4.95,,,,
